trial,threshold,use_synonyms,cobertura,recall,score
0,0.6,True,0.42783505154639173,0.42783505154639173,0.434
1,0.6,False,0.44329896907216493,0.44329896907216493,0.44
2,0.7,True,0.42783505154639173,0.42783505154639173,0.384
3,0.7,False,0.44329896907216493,0.44329896907216493,0.396
4,0.8,True,0.42783505154639173,0.42783505154639173,0.453
5,0.8,False,0.44329896907216493,0.44329896907216493,0.424
6,0.9,True,0.42783505154639173,0.42783505154639173,0.419
7,0.9,False,0.44329896907216493,0.44329896907216493,0.432
