trial,threshold,use_synonyms,cobertura,recall,score
0,0.6,True,0.4387755102040816,0.4387755102040816,0.484
1,0.6,False,0.45408163265306123,0.45408163265306123,0.426
2,0.7,True,0.4387755102040816,0.4387755102040816,0.437
3,0.7,False,0.45408163265306123,0.45408163265306123,0.415
4,0.8,True,0.4387755102040816,0.4387755102040816,0.483
5,0.8,False,0.45408163265306123,0.45408163265306123,0.497
6,0.9,True,0.4387755102040816,0.4387755102040816,0.447
7,0.9,False,0.45408163265306123,0.45408163265306123,0.438
